Description,AvgProfitMargin,TotalSalesDollars,TargetBrand
Catskill Wicked White Whisky,88.91072980867877,2553.8199999999997,No
Cava Mistinguett Brut,43.526874841008265,86403.86,No
Cavas Hill 1887 Brut Cava,10.449111170379306,1724.74,No
Cave de Tain St Joseph Red,85.2597291273787,2041.55,No
Cave de Tain Syrah,31.52251608291637,503.64,No
Cavicchioli Prosecco,34.93318923167617,51093.56,No
Cavicchioli Sw Italian Spkln,34.64245436450622,12635.45,No
Cavit Alta Luna Phases Rosso,85.94351927685263,1318.68,No
Cavit Alta Luna Pnt Grigio,32.58169977394152,22166.83,No
Cavit Cab Svgn,42.090839075115646,18346.51,No
Cavit Chard,50.548228190052434,188.79,No
Cavit Chardonnay Trentino,40.50855130643268,53345.65,No
Cavit Merlot Trentino,34.941347554058375,34732.990000000005,No
Cavit Moscato,22.93673286912883,48518.840000000004,No
Cavit Pinot Grigio,39.105218945691746,1157821.76,No
Cavit Pinot Grigio Bottega,36.842355744986186,21852.62,No
Cavit Pinot Grigio Del Vene,33.26653306613226,239.52,No
Cavit Pinot Grigio Delle Ve,29.958115264918998,39744.79,No
Cavit Pinot Noir Bottega Vi,32.88859239492995,359.76,No
Cavit Pinot Noir Delle Vene,36.45703132026856,219943.67,No
Cavit Prosecco Lunetta,33.393342744961394,232084.44,No
Cavit Riesling Trentino,34.55390459561316,68164.31000000001,No
Cavit Select Red Blend,89.40952910641454,647.28,No
Caymus Cab Svgn Napa Vly,29.393049999801846,534970.9199999999,No
Caymus Conundrum Red,44.65132245052924,80228.70999999999,No
Caymus Conundrum White,42.64879057914494,76554.40999999999,No
Cazadores Anejo Tequila,59.81737502244337,389.87,No
Cazadores Blanco Tequila,31.200795316511233,42528.979999999996,No
Cazadores Reposado Tequila,19.29121506710772,69816.12,No
Cecchi Bonizio Red Blend,44.50984563940535,11938.28,No
Cecchi Cern Chianti Clsc RSV,25.0346310475616,8157.419999999999,No
Cecchi Chianti Classico,33.46480741687204,133815.98,No
Cecchi Chianti Clsc Rsv Fami,26.339498144212172,1891.3799999999999,No
Cecchi Coevo Wood,83.93638432821999,4859.18,No
Cecchi La Mora Morellino,37.47338994549326,5129.64,No
Cecchi La Mora Vermentino,69.0193444903954,10349.2,No
Cecchi Litorale Vermentino,20.36563692140504,4416.95,No
Cecchi Natio Organic Chianti,98.57974642215812,735.08,No
Cecchi Nobile Montepulciano,35.39433490697029,7202.0,No
Cecchi Sangiovese,40.0303891555162,153620.59,No
Celani Family Cab Svgn,31.0296191819464,311.96,No
Celani Family Chard,64.58002520994647,610.87,No
Cella Lambrusco,35.446205170975816,71.94,No
Cellar No 8 Pnt Nr,46.93022381414125,8085.28,No
Cellier des Dauphines CdR,33.79224030037547,95.88,No
Celtic Honey Liqueur,65.93906321055026,659.6999999999999,No
Cenyth Sonoma Red,52.530225114899345,2049.62,No
Cepa 21 Ribera Duero 06 Tnto,35.07504168982768,6746.25,No
Cercius CdR Vielles V Rouge,16.139542460843856,429.69,No
Ceretto Arneis Blange Lange,35.81729798149819,742.63,No
Cesari Bardolino Chiaretto,83.9897599271817,4394.5,No
Cesari Boscarel,30.782956869913384,78581.34,No
Cesari Jema Corvina Veronese,22.144764300099336,3292.11,No
Cesari Lugana Cento Filari,82.18226695676641,10768.71,No
Cesari Mara Vino di Ripasso,37.50366877959166,25110.53,No
Cesari Recioto Valpolicella,35.483870967741936,1279.68,No
Cesari Sangioves Romagna RS,28.60834644331836,4945.34,No
Cesari Valpo Classico,73.60967918005943,989.34,No
Cesari Valpolicella Clsc Am,59.16354291298892,67757.69,No
Ch Alie d'Argent Mout-Rth 12,62.20868563808831,2969.73,No
Ch Alter Ego 10 Brdx,88.81377176840813,2249.82,No
Ch Angelus 09 St Emilion,57.430737887341344,5099.83,No
Ch Angelus 10,31.505674158680364,6935.83,No
Ch Angelus 10 Brdx,32.432082075593996,3239.94,No
Ch Angelus 11 Brdx,32.4333011893282,2799.9,No
Ch Angelus 12 St Emilion,70.84567103364567,5585.860000000001,No
Ch Angelus Saint Emilion,34.639407488310184,2929.9,No
Ch Beaucastel Chtnf Pap,27.891156462585037,9799.02,No
Ch Beaucastel Coud Rouge,31.888881006279572,9303.18,No
Ch Beauchene CDR White RSV,30.54888853481104,21778.010000000002,No
Ch Beauchene Chtnf Pape RSV,29.602580714401284,184491.55,No
Ch Beauchene Cotes du Rhone,34.918781078924496,391223.66,No
Ch Beauchene Rose,32.49774936469408,31591.08,No
Ch Beaulieu Grand Vin Brdx,29.43044489737097,13600.44,No
Ch Beaulieu Lalande de Pomer,25.83872866391996,5572.719999999999,No
Ch Beaulieu Rose Cote d Prov,34.557595993322195,575.04,No
Ch Beausejour Pentimento,38.89120466861192,575.76,No
Ch Behere Courtin Pauillac,93.91233919120002,2654.55,No
Ch Bellevue Lussac St Emili,25.75572628706829,3342.48,No
Ch Bellevue Mondotte 10 Brdx,31.973691801765412,1559.97,No
Ch Bellevue St-Emil 09 Gr Cr,69.23076923076924,1819.74,No
Ch Bellevue-Mondotte 11 Emil,35.06357445592648,1889.91,No
Ch Bernadotte 10 Haut Medoc,57.633728684386014,1539.56,No
Ch Bernadotte Haut-Medoc 11,77.49797593455988,1074.57,No
Ch Bois du Fil Brdx,34.2228152101401,179.88,No
Ch Bonnet Red,28.382571016901036,7606.64,No
Ch Boston Margaux,10.547230230817965,6454.87,No
Ch Bouscaut Rouge 11 GCG,64.01953353131951,1609.54,No
Ch Boyd Cantenac Margaux,70.96003942942181,4179.62,No
Ch Branaire Ducru 10 Brdx,95.28589386016239,5417.57,No
Ch Brane Cantenac Margaux 11,41.560240036928754,649.9,No
Ch Brane-Cantenac Margaux 01,27.574534747914143,8579.22,No
Ch Brannon 12 Pessac-Leognan,51.199256057690626,1709.8100000000002,No
Ch Bruni Brdx Superieur,89.10931329741368,5462.1900000000005,No
Ch Calon 12 Segur St-Estphe,58.864544017163034,5015.429999999999,No
Ch Canon Saint Emilion,47.31547397137059,1689.8700000000001,No
Ch Canon St Emilion Gr Cr 11,87.46071630550722,1396.89,No
Ch Cantegril Sauternes 11,70.0633685380767,449.74999999999994,Yes
Ch Cantemerie 12 Haut-Medoc,98.71666812430091,2172.4700000000003,No
Ch Cantenac Brown Margaux 11,82.10368394732455,1799.7,No
Ch Capbern Gasqueton St Este,1.837548513313762,6000.929999999999,No
Ch Carignan Brdx,32.958394345249495,39131.7,No
Ch Castel Maures 15 Rose Cuv,32.37275592289875,9147.97,No
Ch Certan De May de Certan,62.15662774916068,1259.93,No
Ch Chantelune Margaux,88.40482382190724,4199.16,No
Ch Cheval Bl 12 St-Emilion,35.06533872079352,4439.94,No
Ch Cheval Blanc 10 Brdx,42.05286160391637,17599.92,No
Ch Cheval Blanc St Emil 11,31.507016744630494,8099.91,No
Ch Clerc Milon 10,91.49634891658067,3023.7599999999998,No
Ch Clerc Milon 12 Pauillac,85.56936705243606,629.91,No
Ch Clerc Milon Pauillac 11,97.00132168420329,1747.77,No
Ch Clinet 10 Brdx,52.382010629043826,1574.93,No
Ch Clos Fourtet 10 Brdx,35.485139614585094,533.97,No
Ch Clos Fourtet 12 St-Emilin,86.57665766576658,5499.45,No
Ch Clos d'Estournel 11 Est,42.05298013245034,1799.92,No
Ch Corconnac Svgn Bl,87.73217654248593,5661.639999999999,No
Ch Cos D'Estournel 10,36.0822794996934,7517.79,No
Ch Cos d'Estournel 10,42.92280569197835,2699.94,No
Ch Cos d'Estournel St-Est 12,36.072865632944435,2969.8500000000004,No
Ch Coufran Haut Medoc 10,62.81514127897705,689.77,No
Ch Coutet Sauternes-Barsc 10,71.04339775753489,874.9300000000001,No
Ch Croix de Jaugue St Emilio,34.64981569246973,6589.53,No
Ch D'Arcins Haut Medoc,39.72153575821703,15291.73,No
Ch D'Issan 10 Brdx,92.6211676251362,5543.5599999999995,No
Ch D'Yquem 05 Lur Saluces,38.030316378288845,12599.79,No
Ch Daqueria Tavel Rose,38.74695910309425,19595.37,No
Ch Deux Rocs Premices Red,20.554272517321014,1948.5,No
Ch Doisy Daene Gr Vin Sec 10,58.715346489715145,1101.62,No
Ch Doisy Daene Sauternes 10,42.44232588603449,961.8699999999999,No
Ch Doisy-Daene Sauternes 11,85.61663411613395,419.86,Yes
Ch Donjon Minervois Rose,89.99999999999999,1279.2,No
Ch Ducru Beaucaillau St-Juli,44.17077175697865,3233.79,No
Ch Ducru Beaucaillou 11 Jul,80.26268417894526,1499.9,No
Ch Ducru Beaucaillou 12 St J,65.89962325760148,3564.7700000000004,No
Ch Ducru Beaucallou 10,81.72523757538383,7199.82,No
Ch Dupray St-Emilion,51.59865647109269,2098.95,No
Ch Fage Graves de Vayres,32.76235943746225,12169.85,No
Ch Floreal Laguens Brdx,80.88161008162072,3761.3,No
Ch Fonroque St Emilion 10,67.53221773417964,103.98,Yes
Ch Fontenil Fronsac 10,62.579462102689476,899.8,No
Ch Fougere La Noble Rouge,57.77554599355664,4550.42,No
Ch Francs Brdx CdFrancs,50.08016886200808,12317.75,No
Ch Fugue de Nenin 09,54.949982752673336,173.94,No
Ch Fuisse Pouilly Fuisse 12,97.55379647358043,1399.72,No
Ch Fuisse Pouilly Fuisse Les,72.4171142804223,809.85,No
Ch Fuisse Pouilly Fuisse Tet,92.1538418023636,6010.33,No
Ch Gassier Espirit CdProvenc,29.928692915740513,14445.97,No
Ch Gassier Pas du Moine Vict,24.9080627941002,8851.15,No
Ch Giscours 10,92.20851897290201,1393.83,No
Ch Giscours Margaux 06,70.90493387721169,1924.45,No
Ch Giscours Margaux 07,18.319164305161976,1799.7,No
Ch Giscours Margaux 11 Gr Cr,79.4401468979528,1023.84,No
Ch Giscours Margaux 12,83.25477716347211,10228.35,No
Ch Gloria St Julien 12,85.20343701342617,1907.47,No
Ch Godeau St Emilion 10 Cru,77.16916726204651,125.97,Yes
Ch Grand Leoville 10 Brdx,40.34293873864928,8459.82,No
Ch Grand Puy-Lacoste 12 Paul,96.32099094694107,1349.82,No
Ch Grand Renom Brdx Bl 14,32.860717264386984,14807.65,No
Ch Graves de Pez St Estephe,94.83372094495634,4738.42,No
Ch Graville Lacoste Graves,26.65198191598591,23793.39,No
Ch Greysac,32.84754964994999,82308.23999999999,No
Ch Gruaud Larose 11 St Julin,77.83950935043352,2719.66,No
Ch Guiraud Sauternes 10,63.73727964813738,2855.66,No
Ch Haut Bages Liberal Paulic,85.32472434151997,741.86,No
Ch Haut Bailey 10 Brdx,77.01107626104216,1979.91,No
Ch Haut Bailly Pessac-Leogan,85.22224822336901,1623.8600000000001,No
Ch Haut Beausejour 11 Esteph,93.33456835865135,809.6999999999999,No
Ch Haut Branda Brdx Rouge,25.765741639607683,298.73,No
Ch Haut Brion 10,52.004480302022394,29899.77,No
Ch Haut Brion Pessac-Leognan,31.972789115646254,2279.97,No
Ch Haut Gravet Saint-Emillon,98.33484012028649,7798.05,No
Ch Haut Marbuzet St Estephe,83.16755646437262,1080.77,No
Ch Haut Piquat 09,95.84789442609349,626.67,No
Ch Haut-Bailly 09 Pessac Brd,96.58225193029946,2526.8100000000004,No
Ch Haut-Bailly 10,61.38932542250384,4759.72,No
Ch Haut-Brion Pessac 09 Brdx,49.32443693818821,3599.96,No
Ch Haut-BrionPessac-Leo Gr C,35.484516150538354,299.99,No
Ch Haut-Robert 10,90.0750253231926,3494.82,No
Ch Hermitage Mazeyres Pomerl,13.41804091195819,332.91,No
Ch Hyot Brdx Castillon,19.988812309413508,43333.340000000004,No
Ch Hyot Castillon Brdx,92.38830141945319,629.82,No
Ch Jean De Gue Lalande 10,62.21343464888476,386.91,No
Ch Jean de Gue Lalande de Po,74.96608194601842,3759.06,No
Ch Julien Royalty Red,34.97164461247637,63.48,No
Ch L'Eglise Clinet 10,31.973275726405237,2096.97,No
Ch L'Englise Clinet St Emiln,35.06551047534655,947.94,No
Ch La Bouree Castillion Brdx,64.50424034644533,2216.7999999999997,No
Ch La Cardone Medoc 09,84.2998422288067,2858.5699999999997,No
Ch La Croix Lartigue 09,99.36134931779918,3937.9900000000002,No
Ch La Croix de Beaucailou 10,97.82048365023144,2944.69,No
Ch La Croix du Duc Brdx,30.458519602800965,505.54,No
Ch La Dom St Emil Gr Cru 09,73.33333333333334,334.95,Yes
Ch La Fleur Patris-Querre 09,96.39537473927219,493.81,Yes
Ch La Gordonne Chapelle Rose,88.74002619983328,167.94,Yes
Ch La Gordonne Rose,30.156034915169432,23704.309999999998,No
Ch La Gr Metaine Entre Mers,23.401630484389347,10407.95,No
Ch La Louviere Pssc-Leg Roug,68.84516022646072,727.72,No
Ch La Mission 09 Blanc Pessc,35.06543831797897,15199.81,No
Ch La Mission 09 HB Pessac,39.66809200499621,10399.869999999999,No
Ch La Mission 12 Haut Brion,45.94535979999398,4979.85,No
Ch La Mission Haut Brion 07,35.78665730953112,3647.84,No
Ch La Mission Haut Brion 10,38.77404944413422,9849.5,No
Ch La Mission Haut Brion 11,31.97345394213505,1759.96,No
Ch La Mission Haut Brion P-L,33.774083868530425,3149.9300000000003,No
Ch La Mission Haut-Brion 10,33.78976172510659,32999.7,No
Ch La Mondot 10,32.43300077104605,1283.97,No
Ch La Mondotte 09 St Emilion,50.0,1479.96,No
Ch La Rousseliere St Estephe,32.42406636632919,36747.55,No
Ch LaGrange 10 Brdx,92.09649676674867,5511.48,No
Ch Lacoste-Borie Pauillac 10,73.33333333333333,644.85,No
Ch Lafaurie-Peyragey Saut 10,63.638608582428816,4454.45,No
Ch Lafite Rothschild 10 Brdx,42.52880747171336,19199.88,No
Ch Lafite Rothschild 12,72.41372944199142,9749.85,No
Ch Lafitite Rothschild Pa 11,77.62853644073446,8549.91,No
Ch Lafon-Rochet St Estphe 10,58.12262310191674,4730.43,No
Ch Lagrange 10,95.20613614573345,1063.86,No
Ch Lalande Boire 10 Brdx,94.58799714217672,2015.52,No
Ch Lalande Borie 11 Julien,81.76604101825299,1471.54,No
Ch Lamothe de Haux Brdx Wh,37.55368512138196,20154.56,No
Ch Lancyre Languedoc Rose,34.22193720161905,11507.939999999999,No
Ch Langoa Barton St Julien,73.73846537534293,1563.77,No
Ch Larose Trintaudon 09,33.14782060092607,18640.23,No
Ch Lascombes 10 Brdx,53.85854769709428,2879.84,No
Ch Lassegue 05 GC St Emilion,83.61049976359452,4166.57,No
Ch Lassegue 07 St Emilion AC,74.60404169985408,2837.42,No
Ch Le Bon Pasteur 10 Brdx,48.37125431572987,1624.87,No
Ch Le Gay Pomerol,76.77392739273927,6399.36,No
Ch Le Petite Mouton 12 Pauil,84.19370095790572,3509.7400000000002,No
Ch Leoville Barton 10 St Jul,91.83014078005999,4159.68,No
Ch Leoville Barton 12 St Jul,73.19135583283098,10898.91,No
Ch Leoville Barton St Julien,94.47037315840413,3254.6499999999996,No
Ch Leoville Las Cases 11 Jul,79.99949997499876,1999.9,No
Ch Leoville Las Cases St-Jul,58.88214059222402,1639.92,No
Ch Leoville-Barton Gr Cru 09,45.17344485524376,3959.76,No
Ch Les Carruades 11 Lafitte,96.58238053882833,4179.81,No
Ch Les Flefs de LaGrange 10,58.40085675604679,494.89,No
Ch Les Granges Brdx,93.29522823346679,3399.37,No
Ch Les Ormes Saint-Julien,84.4530916124969,6668.85,No
Ch Lestiac Cotes de Bordeaux,35.08956796628029,9.49,No
Ch Lilian 09 Ladouys St Este,71.33159112072333,665.82,No
Ch Lynch Bages 12 Pauillac,86.93056706507514,19078.41,No
Ch Lynch Bages Paulliac 11,94.32347208474074,9799.300000000001,No
Ch Lynch Moussas Pauilac,84.94581828285635,1079.7,No
Ch M Vert Lussac St Emilion,39.91544472709524,73899.59,No
Ch Macard Brdx Superieur,27.742684463266226,80436.34,No
Ch Magdelaine 10 St Emilion,87.82884005497826,3739.66,No
Ch Magrez Fombrauge 09,39.56774955539566,4419.66,No
Ch Maine d'Arman Cote Bourg,24.008026811204438,3867.04,No
Ch Malartic Lagravier 12 RG,86.30126025205041,6248.75,No
Ch Malartic-Lagraviere 10,35.47993657763142,245.97,No
Ch Malartic-Lagraviere Rouge,67.10459399898288,235.96,Yes
Ch Margaux 12 Margaux,24.41366818241854,4769.91,No
Ch Marquis d'Alesme,31.981616653149498,443.88,No
Ch Marquis de Terme 12 Mrgx,86.05906475315798,3338.37,No
Ch Martinon Brdx Rouge,34.31738273464754,3637.69,No
Ch Massiac Viognier,22.065690852725353,764.49,No
Ch Maycott Red,35.081029551954245,10.49,No
Ch Messile Aubert Montgne St,85.42050510306933,4266.0599999999995,No
Ch Monbousquet 10 Brdx,65.75543405787438,1049.86,No
Ch Moncontour Vouvray Demi S,42.36481220113332,474.71,No
Ch Monestier La Tour Blanc,42.96197464976651,179.88,No
Ch Monet,27.311172305271448,7931.04,No
Ch Montaud Cotes de Prov Rse,41.369020267659316,328398.06,No
Ch Montaud Cotes de Provence,36.17568933397653,34638.869999999995,No
Ch Montelena Cab Svgn 2006,24.31399209797721,2029.8600000000001,No
Ch Montelena Cab Svgn Napa,57.75860944459288,88927.92,No
Ch Montelena Chard Napa,27.736338761539137,32387.620000000003,No
Ch Montelena Est Cab Svgn Np,72.1703867330454,909.9300000000001,No
Ch Montrose 10,52.30049909376217,18589.39,No
Ch Motte Maucourt Brdx,34.62308205470313,179.88,No
Ch Moulin de Pillardot 10,80.24360263716618,3132.15,No
Ch Moulin de la Rose St-Juln,74.66171495808209,5983.12,No
Ch Mouton Rothschild 11 Paui,27.700951283431035,12599.82,No
Ch Mouton Rothschild 12 Paui,72.4063277942084,16919.64,No
Ch Muraires Cd Provence Rose,28.196492612503427,15612.189999999999,No
Ch Musar Hochar Red,81.44836157507048,329.89,Yes
Ch Musar Jeune Rouge,31.96598299149575,239.88,No
Ch Mylord Cuvee Milady,35.33528211024086,15534.53,No
Ch Nicot Bordeaux,4.356928664582715,10374.51,No
Ch Olivier 10 Blanc Pessac-L,81.73695083913849,3722.27,No
Ch Olivier Pessac-Leognan 10,76.76995489311629,3365.34,No
Ch Pagodes de Cos 10 Brdx,67.53675367536755,99.99,Yes
Ch Palmer Margaux,31.50680902379482,2379.9300000000003,No
Ch Palmer Margaux 09 Medoc,64.01735600919208,7819.77,No
Ch Pape Clement 12 Pess-Leog,72.36753281542995,5599.5,No
Ch Pape Clement Bl Gr Cru 11,57.85789289464475,2199.8900000000003,No
Ch Pape Clement Pess leognan,67.3225350581585,4231.54,No
Ch Paradis Rose Cotes D Prov,27.37299929213003,8716.29,No
Ch Pavie 10 Brdx,31.50613900257413,3779.9300000000003,No
Ch Pavie Macquin St Emiln 11,67.68395423109413,2213.73,No
Ch Pavie St Emilion 11 Gr Cr,49.323883647115096,2759.88,No
Ch Perron Brdx Rouge,33.78808549340609,263.88,No
Ch Pesquie Cotes du Ventoux,42.9368829122936,23685.079999999998,No
Ch Pesquie Quint Ventoux Red,35.470668485675304,263.88,No
Ch Petit Bocq Cru Borgeos 10,93.37605501719287,319.9,Yes
Ch Pez 12 St-Estephe,99.11623750105099,3211.27,No
Ch Phelan Segur St Estephe,76.23297997080572,835.7800000000001,No
Ch Phelan Segur St-Estphe 12,91.84863521376842,5648.87,No
Ch Pichon Baron Pauillac 12,35.485205876267344,4349.700000000001,No
Ch Pichon Long Comtesse L 12,72.64841149557103,12609.03,No
Ch Pichon Longevile 11 Comts,86.48617758411315,4199.700000000001,No
Ch Pichon Longueville Rsv Co,92.99763778027547,2099.72,No
Ch Pichon Longville 12 Pauil,64.70763500931098,14499.0,No
Ch Picon Longueville Comt 10,43.234643474044674,2309.9300000000003,No
Ch Pitot Brdx,89.06090818882011,5290.75,No
Ch Plaisance Cuvee Alix Roug,51.122232297073964,4290.11,No
Ch Pontet Canet 12 Pauillac,50.14383705703953,2947.78,No
Ch Poujeaux 10 Moulis,77.08201146706968,866.83,No
Ch Rauzan Segla Margaux 09,66.66666666666667,319.98,Yes
Ch Rauzan-Segla 10 Brdx,62.15602103501527,1469.93,No
Ch Rauzan-Segla Gr Cru 08 Ma,29.96778443459278,5199.349999999999,No
Ch Rayne Vigneau Sauternes,84.48396275219865,2319.6,No
Ch Reserve d La Cometesse 11,95.4337899543379,689.85,No
Ch Reserve de la Comtesse 12,96.07475730003098,5779.77,No
Ch Rieussec Gr Cru 10 Sauter,60.591133004926114,3499.7200000000003,No
Ch Rol Valentin 10,57.97101449275361,2943.54,No
Ch Rollan de By Medoc,92.15070643642072,5197.92,No
Ch Roumier-Lacoste Barsac W,31.052420968387356,74.97,No
Ch Smith Haut Lafitte 12,58.90857701924123,9015.02,No
Ch Smith Haut Lafitte 12 Whi,79.72866113652222,3869.7000000000003,No
Ch St Jean Alexander Cab Svg,52.91310503959304,24789.699999999997,No
Ch St Jean Belle Terre Chard,54.41587534809983,65146.54,No
Ch St Jean Cab Svgn Cal,41.21578044130674,194248.56,No
Ch St Jean Chard California,38.22755459293492,251277.02,No
Ch St Jean Chard Sonoma Cst,25.4896074846151,118760.95,No
Ch St Jean Cinq Cep Cab Svgn,83.77150084937087,1359.83,No
Ch St Jean Merlot Cal,42.00887361354387,108735.86,No
Ch St Jean Pnt Nr,40.565705867421286,140286.33,No
Ch St Jean Pnt Nr Sonoma Cst,52.307403377354866,12140.269999999999,No
Ch St Jean Soiree Red,55.48306701380249,9886.62,No
Ch St Jean Svgn Bl Sonoma,43.65448169485286,18418.59,No
Ch St Louis Vieux Galvesse L,28.555696899504447,5266.9,No
Ch St Michel Brdx Superur,42.74081354205232,9696.609999999999,No
Ch St Pierre Rose,37.587013598660164,13631.49,No
Ch St Sulpice,49.23863514254531,39737.19,No
Ch St Sulpice Brdx Blanc,21.386642316723197,6746.08,No
Ch St Sulpice Rose 13,87.99860745404354,2039.43,No
Ch St-Roch Chimeres CdRoussi,15.816950811648574,735.54,No
Ch Ste Michelle Cab Svgn,19.66155116130727,2132.08,No
Ch Ste Michelle Cab Svgn Col,41.09459434861435,344457.47,No
Ch Ste Michelle Canoe Rdg Me,23.365840715982113,10817.029999999999,No
Ch Ste Michelle Canoe Rdge C,35.22702837169492,16602.11,No
Ch Ste Michelle Chard Colmbi,31.30968362808309,431702.35,No
Ch Ste Michelle Chard Mimi,37.62993762993763,649.35,No
Ch Ste Michelle Col Solare R,22.59995012883385,3609.3,No
Ch Ste Michelle Cold Ck Cab,35.55633851592873,3320.73,No
Ch Ste Michelle Cold Crk Cha,67.41294377441821,1766.1,No
Ch Ste Michelle Cold Crk Mer,37.990127868996524,2730.92,No
Ch Ste Michelle Cold Crk Rsl,23.890063424947144,851.4,No
Ch Ste Michelle Eroica Rsl W,27.15345934640817,28382.239999999998,No
Ch Ste Michelle Gewurz Colum,34.982261126303754,46415.01,No
Ch Ste Michelle Harvest Rsl,35.47750322117487,106909.75,No
Ch Ste Michelle Hrse Hvn Svg,40.5148559581145,38426.67,No
Ch Ste Michelle Indn W Chard,39.391462193666975,46484.54,No
Ch Ste Michelle Indn Wl Merl,32.410720482260054,22766.14,No
Ch Ste Michelle Indn Wls Cab,32.30946644921029,113285.56,No
Ch Ste Michelle Indn Wls Red,38.95931104666002,21352.97,No
Ch Ste Michelle Merlot Colum,42.20941951225483,110289.15,No
Ch Ste Michelle Pnt Gris Was,39.549787187918305,53878.520000000004,No
Ch Ste Michelle Rsl,39.91672815692071,259038.34,No
Ch Ste Michelle Rsl Dry Colu,36.72857522459191,69809.95,No
Ch Ste Michelle Svgn Bl,39.75419200689716,167048.27,No
Ch Suau Cadillac Wh Brdx,33.778148457047536,71.94,No
Ch Suduiraut Sauternes 10,78.77975663514198,1637.87,No
Ch Talbot St Julien 11 GC,67.73958901618475,439.92,Yes
Ch Talbot St-Julien 12 GCC,86.47319232661091,5855.04,No
Ch Tanunda Gr Barossa Cab Sv,14.746610884463813,4326.35,No
Ch Tanunda Gr Barossa Rsl,65.09216755300054,2089.13,No
Ch Tanunda Gr Barossa Shiraz,33.13305974909247,11021.59,No
Ch Tertre de Viaud C d Bourg,79.03738347356973,2841.63,No
Ch Thivin Cote de Brouilly,85.31497626567317,528.77,Yes
Ch Troplong Mondot 10 Brdx,33.334722280095,719.97,No
Ch Valcombe Rose Ventoux,43.607611900294835,223.86,No
Ch Valfontaine 10,77.01919606681511,2937.06,No
Ch Vignot 05 St Emilion Red,87.96203130114318,824.89,No
Ch Vignot 09 St Emilion Gr C,36.27287127503132,2291.63,No
Ch Vincens 15 L'Instant M Rs,9.634052460616987,3728.13,No
Ch Vrai Caillou Wh Brdx,35.702258101139506,8367.65,No
Ch d'Yquem Sauternes,56.98917211557514,2573.91,No
Ch de Beaucastel Pape Blanc,82.87663013041043,999.92,No
Ch de Beaucastel Pape Rouge,49.99878634885189,823.96,No
Ch de Berne Rose,67.80965087836336,449.7,Yes
Ch de Bonhoste Red Brdx 09,78.94840102020795,101.94,Yes
Ch de Carles Brdx,34.64203233256352,48192.9,No
Ch de Chantegrive Graves Rou,98.23387374956882,2174.25,No
Ch de Jarnioux Bjls,95.74169143474737,3886.05,No
Ch de Mattes Corbieres 13,19.150743099787693,1483.65,No
Ch de Montfort Vouvray,28.424405138777963,30814.33,No
Ch de Pez 10 St Estephe Brdx,45.046254048347556,558.87,No
Ch de Pierreux Brouilly Rsv,87.4671393055539,1681.34,No
Ch de Reynaud Cotes du Bourg,13.896329876136178,4367.7,No
Ch de Ribebon Brdx,18.456323032559332,44610.24,No
Ch de Sancerre Sancerre,36.10067996683858,27899.89,No
Ch de la Chaize Brouilly,6.336291033153407,42582.64,No
Ch de la Ragotiere Muscadet,26.378019550575875,8782.35,No
Ch des Labourons Fleurie Rou,22.652660459085403,1064.29,No
Ch du Courlat 10,85.31116794543905,5747.7,No
Ch du Levant Sauternes,33.497625204942274,2958.15,No
Ch du Parc Brdx Rouge,49.39693209380873,1207.99,No
Ch la Cour d'Argent Bordeaux,44.34740677239605,1119.84,No
Ch la Pointe Pomerol,83.06345733041574,2559.2,No
Ch le Borderon Haut-Medoc,10.838283980888606,10387.529999999999,No
Chalk Hill Chard,35.34191933404435,45165.77,No
Chalk Hill Chard RRV,29.899256322816775,17940.58,No
Chalk Hill Estate Red,37.44475736053167,8408.36,No
Chalk Hill Pnt Nr RRV,86.18195984760648,12911.310000000001,No
Chambers Rosewood Muscat,79.18418409899405,1175.02,No
Chambord Liqueur de France,23.5596528474231,42048.37,No
Chambord Royale de France,30.691101645892367,452457.21,No
Chambord Vodka,63.507504168982756,35.98,No
Champagne Malard Grand Cru B,97.1394278855771,1149.77,No
Champagne Pommerey 04 Gr Cru,52.11515276028179,14797.04,No
Champalou Vouvray Cuvee Fon,25.182961022736144,5635.08,No
Champlain Orchards Ice Cider,29.028941318736035,12371.24,No
Champlain Orchards Sprklng C,22.853076425959184,2676.97,No
Champy Brut Sonoma Cnty,1.6629814663734106,17344.15,No
Chanrion Cote de Brouilly,93.33333333333333,379.79999999999995,Yes
Chanson Le Bourgogne Pnt Nr,83.98948966276376,1126.51,No
Chanson Vire Clesse,90.27302355781657,1586.31,No
Chapelle de Bastion Picpoul,20.62420726915842,3066.93,No
Chapelle-St-Arnoux CdR Rouge,33.30300272975432,131.88,No
Chapoutier Bel Cotes Rhn Ros,36.2596786427586,17679.39,No
Chapoutier Cotes du Rhone R,29.110684580934098,6767.79,No
Chapoutier Hrmtage La Sizera,62.21986081593531,2399.7,No
Chappellet Mt Cuvee Napa,21.418907653902654,17754.079999999998,No
Chappellet Signature Cab Svg,20.79296999953116,50550.21,No
Charles & Charles Chard,92.0522640234287,665.85,No
Charles & Charles Red,38.80118294408742,30151.89,No
Charles Fournier Rsl,69.42826108423029,303.81,Yes
Charles Goodnight Bourbon,86.3758805411834,2951.31,No
Charles Heidsieck Brut RSV,40.450061432904164,14332.71,No
Charles Heidsieck Brut Rose,43.37518804381516,5291.32,No
Charles Joguet Chinon Rose,75.03711442238962,181.87,Yes
